Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),178033696855.0016
China,Activity,Activities of membership organisation n.e.c. (91),213102982352.02698
China,Activity,Air transport (62),110936201883.76038
China,Activity,Aluminium production,233149146274.4227
China,Activity,Animal products nec,44580596817.74311
China,Activity,"Biogasification of food waste, incl. land application",0.0
China,Activity,"Biogasification of paper, incl. land application",0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0
China,Activity,Casting of metals,94519839626.60155
China,Activity,Cattle farming,26511482121.05656
China,Activity,Chemicals nec,1083346919672.252
China,Activity,"Collection, purification and distribution of water (41)",19453646065.394672
China,Activity,"Composting of food waste, incl. land application",1313651903.938787
China,Activity,"Composting of paper and wood, incl. land application",327887263.2303947
China,Activity,Computer and related activities (72),553439609917.0673
China,Activity,Construction (45),2709027226472.7144
China,Activity,Copper production,140835588745.4807
China,Activity,Cultivation of cereal grains nec,59976120875.40561
China,Activity,Cultivation of crops nec,86286595469.17166
China,Activity,Cultivation of oil seeds,36808201021.01414
China,Activity,Cultivation of paddy rice,50958305467.967285
China,Activity,Cultivation of plant-based fibers,49459413913.73351
China,Activity,"Cultivation of sugar cane, sugar beet",22993545861.94217
China,Activity,"Cultivation of vegetables, fruit, nuts",282293167721.5185
China,Activity,Cultivation of wheat,31367196338.946884
China,Activity,Distribution and trade of electricity,105516428905.91284
China,Activity,Education (80),738224067156.9014
China,Activity,Extra-territorial organizations and bodies,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",129444174538.42303
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",5175383070.5713215
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",630795201502.1835
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",280920289778.9371
China,Activity,"Forestry, logging and related service activities (02)",63568193021.176796
China,Activity,Health and social work (85),740619092047.394
China,Activity,Hotels and restaurants (55),879553965237.545
China,Activity,Incineration of waste: Food,6098035934.5637
China,Activity,Incineration of waste: Metals and Inert materials,861005428.6102579
China,Activity,Incineration of waste: Oil/Hazardous waste,1518244289.5821896
China,Activity,Incineration of waste: Paper,5990987064.996243
China,Activity,Incineration of waste: Plastic,1309162703.8020945
China,Activity,Incineration of waste: Textiles,1360193355.7434614
China,Activity,Incineration of waste: Wood,1651744980.7120543
China,Activity,Inland water transport,6298708652.988284
China,Activity,"Insurance and pension funding, except compulsory social security (66)",379086780884.92505
China,Activity,Landfill of waste: Food,19031577947.915665
China,Activity,Landfill of waste: Inert/metal/hazardous,6505735471.77721
China,Activity,Landfill of waste: Paper,7907483122.683601
China,Activity,Landfill of waste: Plastic,6416763837.5180235
China,Activity,Landfill of waste: Textiles,2775370209.8141193
China,Activity,Landfill of waste: Wood,3350564029.9449334
China,Activity,"Lead, zinc and tin production",57693405180.08704
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1009058624667.3224
China,Activity,Manufacture of beverages,56016634866.52473
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",10088075428.900356
China,Activity,"Manufacture of cement, lime and plaster",125108732456.22243
China,Activity,Manufacture of ceramic goods,294800941008.1305
China,Activity,Manufacture of coke oven products,92053746373.9816
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),949828097546.1829
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",569624531978.8263
China,Activity,Manufacture of fish products,472362522914.6023
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),592113634033.6537
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,14605352083.033575
China,Activity,Manufacture of glass and glass products,271214896602.39548
China,Activity,Manufacture of machinery and equipment n.e.c. (29),1372930577607.9172
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",147156675259.6414
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",620644259095.6859
China,Activity,Manufacture of office machinery and computers (30),583828349684.553
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,190873787329.2757
China,Activity,Manufacture of other transport equipment (35),494010746880.3124
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",705027537047.76
China,Activity,Manufacture of rubber and plastic products (25),769569462551.6191
China,Activity,Manufacture of textiles (17),820093032357.9443
China,Activity,Manufacture of tobacco products (16),26518701281.373234
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),355359983661.51636
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",20432052520.559044
China,Activity,"Manure treatment (biogas), storage and land application",0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0
China,Activity,Meat animals nec,37784286845.04863
China,Activity,Mining of aluminium ores and concentrates,2386854907.472319
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",3624388895.924335
China,Activity,Mining of coal and lignite; extraction of peat (10),158955973782.7628
China,Activity,Mining of copper ores and concentrates,31475195474.320232
China,Activity,Mining of iron ores,10259236684.70045
China,Activity,"Mining of lead, zinc and tin ores and concentrates",4552612544.396415
China,Activity,Mining of nickel ores and concentrates,4270433574.3073854
China,Activity,Mining of other non-ferrous metal ores and concentrates,42314692931.75385
China,Activity,Mining of precious metal ores and concentrates,25919750767.09532
China,Activity,Mining of uranium and thorium ores (12),916217973.9465716
China,Activity,N-fertiliser,381455705.2144378
China,Activity,Other business activities (74),857293576351.0879
China,Activity,Other land transport,238155328794.37823
China,Activity,Other non-ferrous metal production,94035563786.15714
China,Activity,Other service activities (93),357093649514.65643
China,Activity,P- and other fertiliser,58989638269.89398
China,Activity,Paper,239428396714.98163
China,Activity,Petroleum Refinery,614451934911.9934
China,Activity,Pigs farming,105656562605.9296
China,Activity,"Plastics, basic",132831275405.4221
China,Activity,Post and telecommunications (64),24845412396.5913
China,Activity,Poultry farming,64560357795.22696
China,Activity,Precious metals production,65452983740.43364
China,Activity,Private households with employed persons (95),67276833037.037506
China,Activity,Processed rice,43861507095.71489
China,Activity,Processing of Food products nec,655443402803.0026
China,Activity,Processing of dairy products,19699106633.910194
China,Activity,Processing of meat cattle,4492720423.445942
China,Activity,Processing of meat pigs,24230467284.280167
China,Activity,Processing of meat poultry,18093027084.040993
China,Activity,Processing of nuclear fuel,97683633.34481232
China,Activity,Processing vegetable oils and fats,46977304439.33035
China,Activity,Production of DFIG generators,18098700.68573506
China,Activity,Production of PMG generators,50465394.09032917
China,Activity,Production of electricity by Geothermal,8833925.503533268
China,Activity,Production of electricity by biomass and waste,187521567.31084412
China,Activity,Production of electricity by coal,179782051369.12677
China,Activity,Production of electricity by gas,3807177883.094185
China,Activity,Production of electricity by hydro,40086711711.57741
China,Activity,Production of electricity by nuclear,5440244712.855833
China,Activity,Production of electricity by petroleum and other oil derivatives,1402218332.9171772
China,Activity,Production of electricity by solar photovoltaic,8494454.23540195
China,Activity,Production of electricity by solar thermal,15523.014134071249
China,Activity,"Production of electricity by tide, wave, ocean",170338.6421759097
China,Activity,Production of electricity by wind,461576274.8215557
China,Activity,Production of electricity nec,1462862907.4398975
China,Activity,Production of meat products nec,73698666039.52454
China,Activity,Production of mono-Si and poli-Si cells,2769211.0505856453
China,Activity,Production of offshore wind plants,0.0
China,Activity,Production of onshore wind plants,0.0
China,Activity,Production of photovoltaic modules,19159996.835037902
China,Activity,Production of photovoltaic plants,0.0
China,Activity,Public administration and defence; compulsory social security (75),994015121122.6321
China,Activity,"Publishing, printing and reproduction of recorded media (22)",245407822966.3252
China,Activity,Pulp,3871523020.680896
China,Activity,Quarrying of sand and clay,38309013456.425934
China,Activity,Quarrying of stone,15055553442.912518
China,Activity,Raw milk,35732090142.97301
China,Activity,Re-processing of ash into clinker,0.0
China,Activity,Re-processing of secondary aluminium into new aluminium,0.0
China,Activity,Re-processing of secondary construction material into aggregates,0.0
China,Activity,Re-processing of secondary copper into new copper,0.0
China,Activity,Re-processing of secondary glass into new glass,0.0
China,Activity,"Re-processing of secondary lead into new lead, zinc and tin",0.0
China,Activity,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,0.0
China,Activity,Re-processing of secondary paper into new pulp,185861.6563099806
China,Activity,Re-processing of secondary plastic into new plastic,0.0
China,Activity,Re-processing of secondary preciuos metals into new preciuos metals,0.0
China,Activity,Re-processing of secondary steel into new steel,0.0
China,Activity,Re-processing of secondary wood material into new wood material,0.0
China,Activity,Real estate activities (70),582783083688.4105
China,Activity,"Recreational, cultural and sporting activities (92)",220202185694.07422
China,Activity,Recycling of bottles by direct reuse,0.0
China,Activity,Recycling of waste and scrap,70250231691.29404
China,Activity,Renting of machinery and equipment without operator and of personal and household goods (71),87143798917.60416
China,Activity,Research and development (73),103144805507.23755
China,Activity,Retail sale of automotive fuel,7295822692.516873
China,Activity,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",436166347933.8214
China,Activity,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",130370567053.88524
China,Activity,Sea and coastal water transport,82618616367.02397
China,Activity,Steam and hot water supply,5413806479.410065
China,Activity,Sugar refining,7337587298.795706
China,Activity,Supporting and auxiliary transport activities; activities of travel agencies (63),463236261236.7831
China,Activity,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",197430981246.9383
China,Activity,Transmission of electricity,43377077566.82834
China,Activity,Transport via pipelines,8624165948.881823
China,Activity,Transport via railways,73461871849.62595
China,Activity,"Waste water treatment, food",21839217649.862617
China,Activity,"Waste water treatment, other",34552766120.13971
China,Activity,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",397002640372.2627
China,Activity,"Wool, silk-worm cocoons",5925553131.906556
EU27+UK,Activity,Activities auxiliary to financial intermediation (67),255290775375.24722
EU27+UK,Activity,Activities of membership organisation n.e.c. (91),252282822008.8566
EU27+UK,Activity,Air transport (62),229565388393.0205
EU27+UK,Activity,Aluminium production,36451288330.786964
EU27+UK,Activity,Animal products nec,1262779813.0456328
EU27+UK,Activity,"Biogasification of food waste, incl. land application",3145384322.6082735
EU27+UK,Activity,"Biogasification of paper, incl. land application",370307239.2089215
EU27+UK,Activity,"Biogasification of sewage slugde, incl. land application",16350461054.569702
EU27+UK,Activity,Casting of metals,53856450687.79076
EU27+UK,Activity,Cattle farming,32335097821.76659
EU27+UK,Activity,Chemicals nec,196489535475.40808
EU27+UK,Activity,"Collection, purification and distribution of water (41)",91403709212.46024
EU27+UK,Activity,"Composting of food waste, incl. land application",23190497281.36915
EU27+UK,Activity,"Composting of paper and wood, incl. land application",79860986.13193463
EU27+UK,Activity,Computer and related activities (72),519313756740.2219
EU27+UK,Activity,Construction (45),2037726685779.247
EU27+UK,Activity,Copper production,59759781450.33542
EU27+UK,Activity,Cultivation of cereal grains nec,38053342923.97388
EU27+UK,Activity,Cultivation of crops nec,38309164118.86878
EU27+UK,Activity,Cultivation of oil seeds,26533019571.37812
EU27+UK,Activity,Cultivation of paddy rice,1829284108.580873
EU27+UK,Activity,Cultivation of plant-based fibers,985192386.5503377
EU27+UK,Activity,"Cultivation of sugar cane, sugar beet",4952522284.389361
EU27+UK,Activity,"Cultivation of vegetables, fruit, nuts",122452282522.97716
EU27+UK,Activity,Cultivation of wheat,35684581577.635376
EU27+UK,Activity,Distribution and trade of electricity,240232651847.98877
EU27+UK,Activity,Education (80),1011301897141.3921
EU27+UK,Activity,Extra-territorial organizations and bodies,9616.901466624293
EU27+UK,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",68646121633.83455
EU27+UK,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",24705901828.24964
EU27+UK,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",340608150.30362344
EU27+UK,Activity,"Financial intermediation, except insurance and pension funding (65)",842448518987.5287
EU27+UK,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",18889667620.496944
EU27+UK,Activity,"Forestry, logging and related service activities (02)",48790228690.87085
EU27+UK,Activity,Health and social work (85),1585608577231.1582
EU27+UK,Activity,Hotels and restaurants (55),1019463243216.8533
EU27+UK,Activity,Incineration of waste: Food,12615954075.383675
EU27+UK,Activity,Incineration of waste: Metals and Inert materials,22018677100.175484
EU27+UK,Activity,Incineration of waste: Oil/Hazardous waste,15557528544.98473
EU27+UK,Activity,Incineration of waste: Paper,15199372226.385612
EU27+UK,Activity,Incineration of waste: Plastic,11903848961.737492
EU27+UK,Activity,Incineration of waste: Textiles,2820577449.161833
EU27+UK,Activity,Incineration of waste: Wood,6691248274.628131
EU27+UK,Activity,Inland water transport,10984251764.677208
EU27+UK,Activity,"Insurance and pension funding, except compulsory social security (66)",396413309902.6467
EU27+UK,Activity,Landfill of waste: Food,15225905810.968817
EU27+UK,Activity,Landfill of waste: Inert/metal/hazardous,17362971771.055984
EU27+UK,Activity,Landfill of waste: Paper,11207337352.903625
EU27+UK,Activity,Landfill of waste: Plastic,3516361013.7780404
EU27+UK,Activity,Landfill of waste: Textiles,2016939699.6784902
EU27+UK,Activity,Landfill of waste: Wood,3561463982.8299646
EU27+UK,Activity,"Lead, zinc and tin production",11661829819.014824
EU27+UK,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,133774185837.98067
EU27+UK,Activity,Manufacture of beverages,161207362385.59723
EU27+UK,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",16014760528.5391
EU27+UK,Activity,"Manufacture of cement, lime and plaster",116480354012.90273
EU27+UK,Activity,Manufacture of ceramic goods,31492403528.172028
EU27+UK,Activity,Manufacture of coke oven products,5336151020.18557
EU27+UK,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),377870334731.10925
EU27+UK,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",621808076009.9628
EU27+UK,Activity,Manufacture of fish products,36658042930.47446
EU27+UK,Activity,Manufacture of furniture; manufacturing n.e.c. (36),243016381304.66226
EU27+UK,Activity,Manufacture of gas; distribution of gaseous fuels through mains,182695263716.16995
EU27+UK,Activity,Manufacture of glass and glass products,32590054580.95388
EU27+UK,Activity,Manufacture of machinery and equipment n.e.c. (29),850432790014.8901
EU27+UK,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",225142718264.22745
EU27+UK,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",954265681727.106
EU27+UK,Activity,Manufacture of office machinery and computers (30),94716017237.91495
