Region,Level,Item,production
China,Activity,Activities auxiliary to financial intermediation (67),90692598147.85884
China,Activity,Activities of membership organisation n.e.c. (91),95054512302.80132
China,Activity,Air transport (62),75038893478.40575
China,Activity,Aluminium production,161916620143.09082
China,Activity,Animal products nec,37022820468.21721
China,Activity,"Biogasification of food waste, incl. land application",0.0
China,Activity,"Biogasification of paper, incl. land application",0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0
China,Activity,Casting of metals,64576244484.96475
China,Activity,Cattle farming,22514373159.444756
China,Activity,Chemicals nec,746686707877.2916
China,Activity,"Collection, purification and distribution of water (41)",17512705651.482067
China,Activity,"Composting of food waste, incl. land application",750676677.7591562
China,Activity,"Composting of paper and wood, incl. land application",180409526.36082527
China,Activity,Computer and related activities (72),317032815868.63525
China,Activity,Construction (45),2000997457687.5098
China,Activity,Copper production,106435329654.45836
China,Activity,Cultivation of cereal grains nec,48602636430.378
China,Activity,Cultivation of crops nec,67819704796.80151
China,Activity,Cultivation of oil seeds,26223346339.614635
China,Activity,Cultivation of paddy rice,37387242542.20685
China,Activity,Cultivation of plant-based fibers,29644469171.986443
China,Activity,"Cultivation of sugar cane, sugar beet",16710841227.360594
China,Activity,"Cultivation of vegetables, fruit, nuts",224569445124.0724
China,Activity,Cultivation of wheat,23484015022.76122
China,Activity,Distribution and trade of electricity,184760326236.84756
China,Activity,Education (80),520709825436.57947
China,Activity,Extra-territorial organizations and bodies,0.0
China,Activity,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",143916790127.9269
China,Activity,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",7102316285.957985
China,Activity,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0
China,Activity,"Financial intermediation, except insurance and pension funding (65)",361030964454.4611
China,Activity,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",185100794125.20834
China,Activity,"Forestry, logging and related service activities (02)",49782435446.57987
China,Activity,Health and social work (85),434833984834.6088
China,Activity,Hotels and restaurants (55),510029620500.42096
China,Activity,Incineration of waste: Food,3343415564.5942674
China,Activity,Incineration of waste: Metals and Inert materials,471701584.6376389
China,Activity,Incineration of waste: Oil/Hazardous waste,883610461.5155857
China,Activity,Incineration of waste: Paper,3339226127.930495
China,Activity,Incineration of waste: Plastic,754935750.5271246
China,Activity,Incineration of waste: Textiles,777164158.0570754
China,Activity,Incineration of waste: Wood,848818644.1041608
China,Activity,Inland water transport,4271841563.435172
China,Activity,"Insurance and pension funding, except compulsory social security (66)",171587427345.5767
China,Activity,Landfill of waste: Food,9925082766.264124
China,Activity,Landfill of waste: Inert/metal/hazardous,3512585211.6596785
China,Activity,Landfill of waste: Paper,4155823457.310588
China,Activity,Landfill of waste: Plastic,3339744911.7331624
China,Activity,Landfill of waste: Textiles,1485373975.8651307
China,Activity,Landfill of waste: Wood,1578838323.0274978
China,Activity,"Lead, zinc and tin production",43463600840.10171
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,903683915751.6775
China,Activity,Manufacture of beverages,40612690710.953476
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",7192984746.893913
China,Activity,"Manufacture of cement, lime and plaster",90604240264.65521
China,Activity,Manufacture of ceramic goods,218851991475.6411
China,Activity,Manufacture of coke oven products,57221010620.38104
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),680275159171.6788
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",432944727151.89795
China,Activity,Manufacture of fish products,276040019767.94867
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),423256867109.8939
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,21592645136.403694
China,Activity,Manufacture of glass and glass products,206843737744.93054
China,Activity,Manufacture of machinery and equipment n.e.c. (29),1039611815799.8539
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",114314594334.8624
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",358761838976.6337
China,Activity,Manufacture of office machinery and computers (30),435740063082.5852
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,147346708234.89014
China,Activity,Manufacture of other transport equipment (35),352039160577.1643
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",480425464551.17957
China,Activity,Manufacture of rubber and plastic products (25),530084638118.2148
China,Activity,Manufacture of textiles (17),580173914043.2302
China,Activity,Manufacture of tobacco products (16),13383239841.74417
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),292943666807.6927
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",14915359156.4582
China,Activity,"Manure treatment (biogas), storage and land application",0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0
China,Activity,Meat animals nec,27502823196.14353
China,Activity,Mining of aluminium ores and concentrates,3567031796.7969236
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",6544456356.498807
China,Activity,Mining of coal and lignite; extraction of peat (10),256591356325.28326
China,Activity,Mining of copper ores and concentrates,36551640852.96015
China,Activity,Mining of iron ores,9759973079.800531
China,Activity,"Mining of lead, zinc and tin ores and concentrates",5407269102.817414
China,Activity,Mining of nickel ores and concentrates,6145870466.543518
China,Activity,Mining of other non-ferrous metal ores and concentrates,49504700902.09036
China,Activity,Mining of precious metal ores and concentrates,30755252612.037537
China,Activity,Mining of uranium and thorium ores (12),1024848342.8522868
China,Activity,N-fertiliser,269421272.2876593
China,Activity,Other business activities (74),527295840458.7772
China,Activity,Other land transport,168879969050.50208
