region_from,flow_name,unit,scenario,value
China,Chemicals and petrochemicals products,EUR,baseline,1136749257603.5017
China,Chemicals and petrochemicals products,EUR,shock 1.1,1136749257604.251
China,Chemicals and petrochemicals products,EUR,shock 1.2,1136749257604.251
China,Chemicals and petrochemicals products,EUR,shock 2,1136749257603.5015
China,Chemicals and petrochemicals products,EUR,shock 3.1,1136749257603.5015
China,Chemicals and petrochemicals products,EUR,shock 3.2,1136749257602.9878
China,Transportation services,EUR,baseline,283504210282.9055
China,Transportation services,EUR,shock 1.1,283504210283.32135
China,Transportation services,EUR,shock 1.2,283504210283.32135
China,Transportation services,EUR,shock 2,283504210282.90546
China,Transportation services,EUR,shock 3.1,283504210282.90546
China,Transportation services,EUR,shock 3.2,283504210282.8219
China,"Non-ferrous metals, non-metallic mineral products",EUR,baseline,673265382415.1794
China,"Non-ferrous metals, non-metallic mineral products",EUR,shock 1.1,673265382415.505
China,"Non-ferrous metals, non-metallic mineral products",EUR,shock 1.2,673265382415.505
China,"Non-ferrous metals, non-metallic mineral products",EUR,shock 2,673265382415.1793
China,"Non-ferrous metals, non-metallic mineral products",EUR,shock 3.1,673265382415.1793
China,"Non-ferrous metals, non-metallic mineral products",EUR,shock 3.2,673265382415.026
China,Other mining and quarrying products,EUR,baseline,204408004720.18854
China,Other mining and quarrying products,EUR,shock 1.1,204408004720.2961
China,Other mining and quarrying products,EUR,shock 1.2,204408004720.2961
China,Other mining and quarrying products,EUR,shock 2,204408004720.1885
China,Other mining and quarrying products,EUR,shock 3.1,204408004720.1885
China,Other mining and quarrying products,EUR,shock 3.2,204408004720.13437
China,"Agriculture, forestry, animal raising and fisheries products",EUR,baseline,754032973264.2891
China,"Agriculture, forestry, animal raising and fisheries products",EUR,shock 1.1,754032973264.4395
China,"Agriculture, forestry, animal raising and fisheries products",EUR,shock 1.2,754032973264.4395
China,"Agriculture, forestry, animal raising and fisheries products",EUR,shock 2,754032973264.2891
China,"Agriculture, forestry, animal raising and fisheries products",EUR,shock 3.1,754032973264.2891
China,"Agriculture, forestry, animal raising and fisheries products",EUR,shock 3.2,754032973264.2198
China,Fossils and refined fossil products,EUR,baseline,763701605531.6163
China,Fossils and refined fossil products,EUR,shock 1.1,763701605531.9602
China,Fossils and refined fossil products,EUR,shock 1.2,763701605531.9602
China,Fossils and refined fossil products,EUR,shock 2,763701605531.6161
China,Fossils and refined fossil products,EUR,shock 3.1,763701605531.6161
China,Fossils and refined fossil products,EUR,shock 3.2,763701605530.9562
China,Iron and steel products,EUR,baseline,1057185906591.8499
China,Iron and steel products,EUR,shock 1.1,1057185906592.4767
China,Iron and steel products,EUR,shock 1.2,1057185906592.4767
